image_name,color0,color1,color2,color3,color4,color5,color6,color7,color8,color9
19800-rake_3.jpg,#321414,#79443b,#654321,#c19a6b,#321414,#cb6d51,#a67b5b,#fad6a5,#e6be8a,#592720
15163-09quarat.jpg,#a99a86,#dbd7d2,#836953,#3d2b1f,#1a2421,#4f666a,#696969,#c9c0bb,#a9a9a9,#979aaa
42261-0505velb.jpg,#3c1414,#7c4848,#a99a86,#536878,#1a1110,#979aaa,#1a1110,#979aaa,#e3dac9,#696969
42805-1gemini1.jpg,#7c4848,#3d2b1f,#1a1110,#100c08,#bc987e,#592720,#645452,#e3dac9,#aa98a9,#dcdcdc
40136-cardplay.jpg,#2c1608,#826644,#bc987e,#704214,#918151,#100c08,#edc9af,#696969,#d2b48c,#100c08
25914-redeemer.jpg,#933d41,#fff,#321414,#d99058,#1a1110,#100c08,#b87333,#701c1c,#fada5e,#654321
19217-80selfpo.jpg,#1a1110,#1a2421,#7c4848,#100c08,#98817b,#483c32,#51484f,#a0785a,#483c32,#9f8170
29403-expulsio.jpg,#6f4e37,#3d2b1f,#bc987e,#654321,#edc9af,#a0785a,#979aaa,#e6be8a,#1a1110,#aa98a9
11187-1880s_07.jpg,#1a2421,#cd9575,#100c08,#635147,#1a1110,#e6be8a,#fc9,#100c08,#a0785a,#483c32
10008-vault2.jpg,#3d2b1f,#6f4e37,#bc987e,#1a2421,#eae0c8,#483c32,#a0785a,#e6e6fa,#483c32,#1a2421
30225-4ducale5.jpg,#1a2421,#79443b,#3d2b1f,#a99a86,#1a2421,#592720,#a0785a,#cfcfc4,#483c32,#d2b48c
24743-wencesl1.jpg,#2c1608,#b78727,#996515,#1a1110,#d4af37,#801818,#f5deb3,#e4d96f,#704214,#9b111e
27163-mildorf3.jpg,#3d2b1f,#6f4e37,#c19a6b,#592720,#f5deb3,#3d2b1f,#a67b5b,#e6be8a,#cd5b45,#4b3621
13098-sfrancis.jpg,#3d2b1f,#635147,#483c32,#253529,#b38b6d,#918151,#253529,#253529,#d2b48c,#eee8aa
23599-perseus.jpg,#2c1608,#6f4e37,#100c08,#100c08,#c19a6b,#701c1c,#654321,#b87333,#534b4f,#edc9af
43141-market.jpg,#321414,#6f4e37,#bc987e,#edc9af,#4b3621,#321414,#dea5a4,#9f8170,#a67b5b,#1a1110
03038-05dolor.jpg,#e3dac9,#1a2421,#c2b280,#d2b48c,#6f4e37,#a67b5b,#253529,#1a2421,#592720,#1a2421
03804-095resur.jpg,#321414,#893f45,#cd9575,#1a2421,#1a1110,#4f666a,#edc9af,#e6be8a,#cb6d51,#592720
16534-s_jerome.jpg,#100c08,#933d41,#c19a6b,#f5deb3,#701c1c,#321414,#cd853f,#ffc87c,#701c1c,#100c08
06111-joseph.jpg,#826644,#bc987e,#918151,#3c341f,#4b3621,#253529,#d2b48c,#465945,#722f37,#cfcfc4
14200-jerome.jpg,#79443b,#edc9af,#3c1414,#bc987e,#654321,#cb6d51,#e6be8a,#645452,#ddadaf,#3d2b1f
02891-il_gesu1.jpg,#635147,#3d2b1f,#bc987e,#eae0c8,#1a2421,#645452,#a0785a,#654321,#aa98a9,#e6be8a
20427-portjane.jpg,#100c08,#933d41,#321414,#3d2b1f,#bc987e,#efdecd,#701c1c,#cb6d51,#f4f0ec,#704214
19862-2guildf2.jpg,#7c4848,#1a1110,#536878,#1a2421,#bc987e,#3d2b1f,#ecebbd,#483c32,#e6be8a,#645452
04793-port_man.jpg,#1a1110,#555,#414833,#ffefd5,#bc987e,#f2f3f4,#1a1110,#100c08,#696969,#918151
25114-6michael.jpg,#321414,#7c4848,#8c92ac,#a99a86,#1a2421,#645452,#979aaa,#cfcfc4,#483c32,#6e7f80
40344-3green.jpg,#826644,#bc987e,#e3dac9,#3d2b1f,#a0785a,#a67b5b,#592720,#645452,#dea5a4,#aa98a9
43939-idolatry.jpg,#2c1608,#704214,#8b4513,#b78727,#c19a6b,#f5deb3,#e6be8a,#1a1110,#1a1110,#1a2421
14698-02edgar.jpg,#4b3621,#6f4e37,#483c32,#cfcfc4,#c3b091,#536872,#8c92ac,#4f666a,#979aaa,#c9c0bb
32163-elizabet.jpg,#1a1110,#100c08,#6f4e37,#000,#654321,#918151,#000,#b38b6d,#592720,#534b4f
34225-visionbr.jpg,#1a2421,#645452,#4f666a,#3d2b1f,#bc987e,#36454f,#1a2421,#555,#f5deb3,#a0785a
23382-05selfpo.jpg,#100c08,#6f4e37,#1a1110,#3d2b1f,#cd9575,#654321,#edc9af,#592720,#918151,#e6be8a
15271-104gerif.jpg,#6f4e37,#3d2b1f,#a67b5b,#1a1110,#c19a6b,#1a2421,#483c32,#bcd4e6,#e3dac9,#696969
18105-2tosse2.jpg,#826644,#bc987e,#f5deb3,#e6be8a,#3d2b1f,#a0785a,#592720,#3d2b1f,#674846,#8fbc8f
40370-2battle.jpg,#3d2b1f,#79443b,#d99058,#ffc87c,#a67b5b,#fad6a5,#483c32,#483c32,#cd5b45,#1a2421
10106-11virgin.jpg,#253529,#3d2b1f,#6f4e37,#1c352d,#4f666a,#e1a95f,#465945,#b78727,#4b5320,#91a3b0
06089-two_men.jpg,#3d2b1f,#6f4e37,#1a2421,#1a2421,#483c32,#c19a6b,#1a2421,#eae0c8,#ad6f69,#e6be8a
19739-selfport.jpg,#2c1608,#6f4e37,#1a1110,#b38b6d,#a67b5b,#654321,#4b3621,#a67b5b,#edc9af,#e6be8a
10419-20illmat.jpg,#100c08,#1a1110,#bc987e,#826644,#edc9af,#1a2421,#1a2421,#645452,#918151,#dea5a4
